borough,major_category,minor_category,year,number_of_cases
City of London,Violence Against the Person,Harassment,2016,13
City of London,Violence Against the Person,Harassment,2011,2
City of London,Violence Against the Person,Harassment,2014,3
City of London,Violence Against the Person,Harassment,2013,5
City of London,Violence Against the Person,Harassment,2009,0
City of London,Violence Against the Person,Harassment,2008,0
City of London,Violence Against the Person,Harassment,2015,8
City of London,Violence Against the Person,Harassment,2010,0
City of London,Violence Against the Person,Harassment,2012,5
City of London,Theft and Handling,Other Theft,2013,34
City of London,Theft and Handling,Other Theft,2016,59
City of London,Theft and Handling,Other Theft,2015,43
City of London,Theft and Handling,Other Theft,2012,68
City of London,Theft and Handling,Other Theft,2014,40
City of London,Theft and Handling,Other Theft,2010,0
City of London,Theft and Handling,Other Theft,2008,0
City of London,Theft and Handling,Other Theft,2011,26
City of London,Theft and Handling,Other Theft,2009,0
City of London,Violence Against the Person,Wounding/GBH,2009,0
City of London,Violence Against the Person,Wounding/GBH,2008,0
City of London,Violence Against the Person,Wounding/GBH,2016,3
City of London,Violence Against the Person,Wounding/GBH,2010,0
City of London,Violence Against the Person,Wounding/GBH,2013,0
City of London,Violence Against the Person,Wounding/GBH,2015,5
City of London,Violence Against the Person,Wounding/GBH,2011,0
City of London,Violence Against the Person,Wounding/GBH,2012,0
City of London,Violence Against the Person,Wounding/GBH,2014,4
City of London,Violence Against the Person,Common Assault,2016,4
City of London,Violence Against the Person,Common Assault,2013,2
City of London,Violence Against the Person,Common Assault,2010,0
City of London,Violence Against the Person,Common Assault,2015,7
City of London,Violence Against the Person,Common Assault,2011,2
City of London,Violence Against the Person,Common Assault,2014,7
City of London,Violence Against the Person,Common Assault,2012,5
City of London,Violence Against the Person,Common Assault,2009,0
City of London,Violence Against the Person,Common Assault,2008,0
City of London,Violence Against the Person,Other violence,2009,0
City of London,Violence Against the Person,Other violence,2014,1
City of London,Violence Against the Person,Other violence,2011,0
City of London,Violence Against the Person,Other violence,2012,2
City of London,Violence Against the Person,Other violence,2016,0
City of London,Violence Against the Person,Other violence,2015,3
City of London,Violence Against the Person,Other violence,2013,1
City of London,Violence Against the Person,Other violence,2008,0
City of London,Violence Against the Person,Other violence,2010,0
City of London,Drugs,Drug Trafficking,2015,1
City of London,Drugs,Drug Trafficking,2012,0
City of London,Drugs,Drug Trafficking,2011,1
City of London,Drugs,Drug Trafficking,2009,0
City of London,Drugs,Drug Trafficking,2013,2
City of London,Drugs,Drug Trafficking,2016,1
City of London,Drugs,Drug Trafficking,2010,0
City of London,Drugs,Drug Trafficking,2014,0
City of London,Drugs,Drug Trafficking,2008,0
City of London,Violence Against the Person,Offensive Weapon,2015,2
City of London,Violence Against the Person,Offensive Weapon,2010,0
City of London,Violence Against the Person,Offensive Weapon,2016,0
City of London,Violence Against the Person,Offensive Weapon,2014,0
City of London,Violence Against the Person,Offensive Weapon,2013,0
City of London,Violence Against the Person,Offensive Weapon,2011,1
City of London,Violence Against the Person,Offensive Weapon,2012,0
City of London,Violence Against the Person,Offensive Weapon,2009,0
City of London,Violence Against the Person,Offensive Weapon,2008,0
City of London,Other Notifiable Offences,Other Notifiable,2014,2
City of London,Other Notifiable Offences,Other Notifiable,2010,0
City of London,Other Notifiable Offences,Other Notifiable,2015,0
City of London,Other Notifiable Offences,Other Notifiable,2011,1
City of London,Other Notifiable Offences,Other Notifiable,2008,0
City of London,Other Notifiable Offences,Other Notifiable,2016,6
City of London,Other Notifiable Offences,Other Notifiable,2013,4
City of London,Other Notifiable Offences,Other Notifiable,2009,0
City of London,Other Notifiable Offences,Other Notifiable,2012,4
City of London,Theft and Handling,Theft From Shops,2008,0
City of London,Theft and Handling,Theft From Shops,2016,8
City of London,Theft and Handling,Theft From Shops,2012,1
City of London,Theft and Handling,Theft From Shops,2014,4
City of London,Theft and Handling,Theft From Shops,2009,0
City of London,Theft and Handling,Theft From Shops,2015,4
City of London,Theft and Handling,Theft From Shops,2010,0
City of London,Theft and Handling,Theft From Shops,2011,0
City of London,Robbery,Business Property,2012,0
City of London,Robbery,Business Property,2016,0
City of London,Robbery,Business Property,2009,0
City of London,Robbery,Business Property,2013,0
City of London,Robbery,Business Property,2010,0
City of London,Robbery,Business Property,2014,0
City of London,Robbery,Personal Property,2013,3
City of London,Robbery,Personal Property,2009,0
City of London,Robbery,Personal Property,2010,0
City of London,Robbery,Personal Property,2012,6
City of London,Robbery,Personal Property,2011,1
City of London,Robbery,Personal Property,2014,4
City of London,Robbery,Personal Property,2008,0
City of London,Robbery,Personal Property,2016,4
City of London,Robbery,Personal Property,2015,5
City of London,Theft and Handling,Other Theft Person,2010,0
City of London,Theft and Handling,Other Theft Person,2016,51
City of London,Theft and Handling,Other Theft Person,2015,43
City of London,Theft and Handling,Other Theft Person,2014,28
City of London,Theft and Handling,Other Theft Person,2011,7
City of London,Theft and Handling,Other Theft Person,2008,0
City of London,Theft and Handling,Other Theft Person,2012,41
City of London,Theft and Handling,Other Theft Person,2013,24
City of London,Theft and Handling,Other Theft Person,2009,0
City of London,Violence Against the Person,Assault with Injury,2011,9
City of London,Violence Against the Person,Assault with Injury,2008,0
City of London,Violence Against the Person,Assault with Injury,2016,5
City of London,Violence Against the Person,Assault with Injury,2009,0
City of London,Violence Against the Person,Assault with Injury,2012,3
City of London,Violence Against the Person,Assault with Injury,2015,3
City of London,Violence Against the Person,Assault with Injury,2013,6
City of London,Violence Against the Person,Assault with Injury,2010,0
City of London,Violence Against the Person,Assault with Injury,2014,3
City of London,Drugs,Possession Of Drugs,2008,0
City of London,Drugs,Possession Of Drugs,2014,3
City of London,Drugs,Possession Of Drugs,2011,3
City of London,Drugs,Possession Of Drugs,2012,6
City of London,Drugs,Possession Of Drugs,2015,5
City of London,Drugs,Possession Of Drugs,2013,2
City of London,Drugs,Possession Of Drugs,2009,0
City of London,Drugs,Possession Of Drugs,2016,9
City of London,Drugs,Possession Of Drugs,2010,0
City of London,Theft and Handling,Handling Stolen Goods,2008,0
City of London,Theft and Handling,Handling Stolen Goods,2014,1
City of London,Theft and Handling,Handling Stolen Goods,2012,2
City of London,Theft and Handling,Handling Stolen Goods,2013,1
City of London,Theft and Handling,Handling Stolen Goods,2009,0
City of London,Theft and Handling,Handling Stolen Goods,2015,1
City of London,Theft and Handling,Handling Stolen Goods,2011,0
City of London,Theft and Handling,Handling Stolen Goods,2010,0
City of London,Theft and Handling,Handling Stolen Goods,2016,0
City of London,Criminal Damage,Other Criminal Damage,2013,1
City of London,Criminal Damage,Other Criminal Damage,2015,0
City of London,Criminal Damage,Other Criminal Damage,2016,0
City of London,Criminal Damage,Other Criminal Damage,2011,1
City of London,Criminal Damage,Other Criminal Damage,2012,0
City of London,Criminal Damage,Other Criminal Damage,2014,2
City of London,Criminal Damage,Other Criminal Damage,2008,0
City of London,Criminal Damage,Other Criminal Damage,2009,0
City of London,Criminal Damage,Other Criminal Damage,2010,0
City of London,Theft and Handling,Theft From Motor Vehicle,2011,4
City of London,Theft and Handling,Theft From Motor Vehicle,2014,2
City of London,Theft and Handling,Theft From Motor Vehicle,2015,3
City of London,Theft and Handling,Theft From Motor Vehicle,2016,2
City of London,Theft and Handling,Theft From Motor Vehicle,2008,0
City of London,Theft and Handling,Theft From Motor Vehicle,2009,0
City of London,Theft and Handling,Theft From Motor Vehicle,2013,4
City of London,Theft and Handling,Theft From Motor Vehicle,2012,3
City of London,Theft and Handling,Theft From Motor Vehicle,2010,0
City of London,Burglary,Burglary in Other Buildings,2014,1
City of London,Burglary,Burglary in Other Buildings,2013,3
City of London,Burglary,Burglary in Other Buildings,2015,5
City of London,Burglary,Burglary in Other Buildings,2008,0
City of London,Burglary,Burglary in Other Buildings,2009,0
City of London,Burglary,Burglary in Other Buildings,2011,1
City of London,Burglary,Burglary in Other Buildings,2012,3
City of London,Burglary,Burglary in Other Buildings,2016,2
City of London,Burglary,Burglary in Other Buildings,2010,0
City of London,Theft and Handling,Theft/Taking of Pedal Cycle,2016,7
City of London,Theft and Handling,Theft/Taking of Pedal Cycle,2011,7
City of London,Theft and Handling,Theft/Taking of Pedal Cycle,2014,6
City of London,Theft and Handling,Theft/Taking of Pedal Cycle,2009,0
City of London,Theft and Handling,Theft/Taking of Pedal Cycle,2013,8
City of London,Theft and Handling,Theft/Taking of Pedal Cycle,2008,0
City of London,Theft and Handling,Theft/Taking of Pedal Cycle,2010,0
City of London,Theft and Handling,Theft/Taking of Pedal Cycle,2015,9
City of London,Theft and Handling,Theft/Taking of Pedal Cycle,2012,4
City of London,Theft and Handling,Theft/Taking Of Motor Vehicle,2012,2
City of London,Theft and Handling,Theft/Taking Of Motor Vehicle,2008,0
City of London,Theft and Handling,Theft/Taking Of Motor Vehicle,2014,2
City of London,Theft and Handling,Theft/Taking Of Motor Vehicle,2016,2
City of London,Theft and Handling,Theft/Taking Of Motor Vehicle,2013,3
City of London,Theft and Handling,Theft/Taking Of Motor Vehicle,2009,0
City of London,Theft and Handling,Theft/Taking Of Motor Vehicle,2011,1
City of London,Theft and Handling,Theft/Taking Of Motor Vehicle,2015,1
City of London,Theft and Handling,Theft/Taking Of Motor Vehicle,2010,0
City of London,Criminal Damage,Criminal Damage To Motor Vehicle,2010,0
City of London,Criminal Damage,Criminal Damage To Motor Vehicle,2013,1
City of London,Criminal Damage,Criminal Damage To Motor Vehicle,2012,2
City of London,Criminal Damage,Criminal Damage To Motor Vehicle,2011,1
City of London,Criminal Damage,Criminal Damage To Motor Vehicle,2009,0
City of London,Criminal Damage,Criminal Damage To Motor Vehicle,2014,1
City of London,Criminal Damage,Criminal Damage To Motor Vehicle,2008,0
City of London,Criminal Damage,Criminal Damage To Motor Vehicle,2015,1
City of London,Criminal Damage,Criminal Damage To Motor Vehicle,2016,0
City of London,Criminal Damage,Criminal Damage To Other Building,2008,0
City of London,Criminal Damage,Criminal Damage To Other Building,2011,0
City of London,Criminal Damage,Criminal Damage To Other Building,2015,2
City of London,Criminal Damage,Criminal Damage To Other Building,2009,0
City of London,Criminal Damage,Criminal Damage To Other Building,2014,1
City of London,Criminal Damage,Criminal Damage To Other Building,2012,0
City of London,Criminal Damage,Criminal Damage To Other Building,2010,0
City of London,Criminal Damage,Criminal Damage To Other Building,2016,2
City of London,Criminal Damage,Criminal Damage To Other Building,2013,1
Brent,Sexual Offences,Rape,2016,0
Brent,Sexual Offences,Rape,2009,0
Brent,Sexual Offences,Rape,2011,0
Brent,Sexual Offences,Rape,2012,0
Brent,Sexual Offences,Rape,2013,0
Brent,Sexual Offences,Rape,2010,0
Brent,Sexual Offences,Rape,2008,14
Brent,Sexual Offences,Rape,2015,0
Brent,Sexual Offences,Rape,2014,0
Brent,Violence Against the Person,Murder,2012,5
Brent,Violence Against the Person,Murder,2009,5
Brent,Violence Against the Person,Murder,2008,8
Brent,Violence Against the Person,Murder,2016,6
Brent,Violence Against the Person,Murder,2010,4
Brent,Violence Against the Person,Murder,2015,8
Brent,Violence Against the Person,Murder,2014,5
Brent,Violence Against the Person,Murder,2011,3
Brent,Violence Against the Person,Murder,2013,3
Brent,Violence Against the Person,Harassment,2016,2635
Brent,Violence Against the Person,Harassment,2012,2001
Brent,Violence Against the Person,Harassment,2009,1723
Brent,Violence Against the Person,Harassment,2014,2157
Brent,Violence Against the Person,Harassment,2010,1999
Brent,Violence Against the Person,Harassment,2013,1772
Brent,Violence Against the Person,Harassment,2008,1567
Brent,Violence Against the Person,Harassment,2011,2127
Brent,Violence Against the Person,Harassment,2015,2485
Brent,Drugs,Other Drugs,2015,20
Brent,Drugs,Other Drugs,2012,33
Brent,Drugs,Other Drugs,2014,23
Brent,Drugs,Other Drugs,2010,31
Brent,Drugs,Other Drugs,2013,27
Brent,Drugs,Other Drugs,2016,18
Brent,Drugs,Other Drugs,2008,13
Brent,Drugs,Other Drugs,2011,25
Brent,Drugs,Other Drugs,2009,14
Brent,Theft and Handling,Other Theft,2013,2794
Brent,Theft and Handling,Other Theft,2011,2830
Brent,Theft and Handling,Other Theft,2008,2185
Brent,Theft and Handling,Other Theft,2009,2323
Brent,Theft and Handling,Other Theft,2015,2970
Brent,Theft and Handling,Other Theft,2010,2400
Brent,Theft and Handling,Other Theft,2014,2929
Brent,Theft and Handling,Other Theft,2016,3235
Brent,Theft and Handling,Other Theft,2012,3113
Brent,Sexual Offences,Other Sexual,2009,0
Brent,Sexual Offences,Other Sexual,2011,0
Brent,Sexual Offences,Other Sexual,2012,0
Brent,Sexual Offences,Other Sexual,2008,25
Brent,Sexual Offences,Other Sexual,2015,0
Brent,Sexual Offences,Other Sexual,2014,0
Brent,Sexual Offences,Other Sexual,2016,0
Brent,Sexual Offences,Other Sexual,2013,0
Brent,Sexual Offences,Other Sexual,2010,0
Brent,Violence Against the Person,Wounding/GBH,2016,1004
Brent,Violence Against the Person,Wounding/GBH,2010,371
Brent,Violence Against the Person,Wounding/GBH,2014,957
Brent,Violence Against the Person,Wounding/GBH,2011,400
Brent,Violence Against the Person,Wounding/GBH,2009,469
Brent,Violence Against the Person,Wounding/GBH,2013,667
Brent,Violence Against the Person,Wounding/GBH,2012,315
Brent,Violence Against the Person,Wounding/GBH,2015,926
Brent,Violence Against the Person,Wounding/GBH,2008,360
Brent,Violence Against the Person,Common Assault,2013,1511
Brent,Violence Against the Person,Common Assault,2011,1724
Brent,Violence Against the Person,Common Assault,2016,2894
Brent,Violence Against the Person,Common Assault,2012,1625
Brent,Violence Against the Person,Common Assault,2014,2225
Brent,Violence Against the Person,Common Assault,2010,1656
Brent,Violence Against the Person,Common Assault,2009,1619
Brent,Violence Against the Person,Common Assault,2015,2648
Brent,Violence Against the Person,Common Assault,2008,1341
Brent,Other Notifiable Offences,Going Equipped,2011,36
Brent,Other Notifiable Offences,Going Equipped,2009,17
Brent,Other Notifiable Offences,Going Equipped,2014,14
Brent,Other Notifiable Offences,Going Equipped,2016,29
Brent,Other Notifiable Offences,Going Equipped,2012,23
Brent,Other Notifiable Offences,Going Equipped,2013,18
Brent,Other Notifiable Offences,Going Equipped,2010,18
Brent,Other Notifiable Offences,Going Equipped,2015,21
Brent,Other Notifiable Offences,Going Equipped,2008,9
Brent,Violence Against the Person,Other violence,2011,301
Brent,Violence Against the Person,Other violence,2015,427
Brent,Violence Against the Person,Other violence,2009,242
Brent,Violence Against the Person,Other violence,2012,301
Brent,Violence Against the Person,Other violence,2008,197
Brent,Violence Against the Person,Other violence,2013,375
Brent,Violence Against the Person,Other violence,2014,427
Brent,Violence Against the Person,Other violence,2010,234
Brent,Violence Against the Person,Other violence,2016,452
Brent,Drugs,Drug Trafficking,2008,140
Brent,Drugs,Drug Trafficking,2015,91
Brent,Drugs,Drug Trafficking,2013,174
Brent,Drugs,Drug Trafficking,2014,117
Brent,Drugs,Drug Trafficking,2011,225
Brent,Drugs,Drug Trafficking,2012,137
Brent,Drugs,Drug Trafficking,2009,219
Brent,Drugs,Drug Trafficking,2016,145
Brent,Drugs,Drug Trafficking,2010,116
Brent,Violence Against the Person,Offensive Weapon,2011,205
Brent,Violence Against the Person,Offensive Weapon,2016,223
Brent,Violence Against the Person,Offensive Weapon,2009,128
Brent,Violence Against the Person,Offensive Weapon,2012,121
Brent,Violence Against the Person,Offensive Weapon,2008,211
Brent,Violence Against the Person,Offensive Weapon,2014,147
Brent,Violence Against the Person,Offensive Weapon,2013,148
Brent,Violence Against the Person,Offensive Weapon,2015,172
Brent,Violence Against the Person,Offensive Weapon,2010,163
Brent,Other Notifiable Offences,Other Notifiable,2008,265
Brent,Other Notifiable Offences,Other Notifiable,2013,406
Brent,Other Notifiable Offences,Other Notifiable,2010,397
Brent,Other Notifiable Offences,Other Notifiable,2009,284
Brent,Other Notifiable Offences,Other Notifiable,2014,458
Brent,Other Notifiable Offences,Other Notifiable,2016,507
Brent,Other Notifiable Offences,Other Notifiable,2015,390
Brent,Other Notifiable Offences,Other Notifiable,2011,386
Brent,Other Notifiable Offences,Other Notifiable,2012,433
Brent,Theft and Handling,Theft From Shops,2009,849
Brent,Theft and Handling,Theft From Shops,2015,1315
Brent,Theft and Handling,Theft From Shops,2012,876
Brent,Theft and Handling,Theft From Shops,2011,930
Brent,Theft and Handling,Theft From Shops,2014,1168
Brent,Theft and Handling,Theft From Shops,2008,611
Brent,Theft and Handling,Theft From Shops,2013,860
Brent,Theft and Handling,Theft From Shops,2016,1479
Brent,Theft and Handling,Theft From Shops,2010,943
Brent,Robbery,Business Property,2014,44
Brent,Robbery,Business Property,2016,55
Brent,Robbery,Business Property,2012,87
Brent,Robbery,Business Property,2008,90
Brent,Robbery,Business Property,2010,109
Brent,Robbery,Business Property,2009,135
Brent,Robbery,Business Property,2015,63
Brent,Robbery,Business Property,2011,105
Brent,Robbery,Business Property,2013,62
Brent,Robbery,Personal Property,2010,1688
Brent,Robbery,Personal Property,2011,1922
Brent,Robbery,Personal Property,2016,864
Brent,Robbery,Personal Property,2015,820
Brent,Robbery,Personal Property,2009,1495
Brent,Robbery,Personal Property,2008,1465
Brent,Robbery,Personal Property,2014,832
Brent,Robbery,Personal Property,2012,1556
Brent,Robbery,Personal Property,2013,1081
Brent,Fraud or Forgery,Counted per Victim,2014,0
Brent,Fraud or Forgery,Counted per Victim,2011,0
Brent,Fraud or Forgery,Counted per Victim,2009,0
Brent,Fraud or Forgery,Counted per Victim,2008,99
Brent,Fraud or Forgery,Counted per Victim,2016,0
Brent,Fraud or Forgery,Counted per Victim,2012,0
Brent,Fraud or Forgery,Counted per Victim,2010,0
Brent,Fraud or Forgery,Counted per Victim,2013,0
Brent,Fraud or Forgery,Counted per Victim,2015,0
Brent,Theft and Handling,Other Theft Person,2014,701
Brent,Theft and Handling,Other Theft Person,2011,880
Brent,Theft and Handling,Other Theft Person,2012,954
Brent,Theft and Handling,Other Theft Person,2008,945
Brent,Theft and Handling,Other Theft Person,2010,839
Brent,Theft and Handling,Other Theft Person,2016,696
Brent,Theft and Handling,Other Theft Person,2013,888
Brent,Theft and Handling,Other Theft Person,2015,713
Brent,Theft and Handling,Other Theft Person,2009,1020
Brent,Violence Against the Person,Assault with Injury,2016,1991
Brent,Violence Against the Person,Assault with Injury,2012,2027
Brent,Violence Against the Person,Assault with Injury,2015,1819
Brent,Violence Against the Person,Assault with Injury,2010,2098
Brent,Violence Against the Person,Assault with Injury,2013,1521
Brent,Violence Against the Person,Assault with Injury,2008,2006
Brent,Violence Against the Person,Assault with Injury,2014,1773
Brent,Violence Against the Person,Assault with Injury,2009,2200
Brent,Violence Against the Person,Assault with Injury,2011,2044
Brent,Drugs,Possession Of Drugs,2008,2660
Brent,Drugs,Possession Of Drugs,2010,2833
Brent,Drugs,Possession Of Drugs,2012,3258
Brent,Drugs,Possession Of Drugs,2013,3140
Brent,Drugs,Possession Of Drugs,2016,1933
Brent,Drugs,Possession Of Drugs,2011,3792
Brent,Drugs,Possession Of Drugs,2009,2346
Brent,Drugs,Possession Of Drugs,2015,1697
Brent,Drugs,Possession Of Drugs,2014,2751
Brent,Theft and Handling,Handling Stolen Goods,2011,75
Brent,Theft and Handling,Handling Stolen Goods,2012,70
Brent,Theft and Handling,Handling Stolen Goods,2013,59
Brent,Theft and Handling,Handling Stolen Goods,2015,42
Brent,Theft and Handling,Handling Stolen Goods,2008,66
Brent,Theft and Handling,Handling Stolen Goods,2010,36
Brent,Theft and Handling,Handling Stolen Goods,2016,38
Brent,Theft and Handling,Handling Stolen Goods,2009,39
Brent,Theft and Handling,Handling Stolen Goods,2014,52
Brent,Criminal Damage,Other Criminal Damage,2014,581
Brent,Criminal Damage,Other Criminal Damage,2009,655
Brent,Criminal Damage,Other Criminal Damage,2010,519
Brent,Criminal Damage,Other Criminal Damage,2011,536
Brent,Criminal Damage,Other Criminal Damage,2015,610
Brent,Criminal Damage,Other Criminal Damage,2012,560
Brent,Criminal Damage,Other Criminal Damage,2016,648
Brent,Criminal Damage,Other Criminal Damage,2008,517
Brent,Criminal Damage,Other Criminal Damage,2013,483
Brent,Fraud or Forgery,Other Fraud & Forgery,2012,0
Brent,Fraud or Forgery,Other Fraud & Forgery,2010,0
Brent,Fraud or Forgery,Other Fraud & Forgery,2011,0
Brent,Fraud or Forgery,Other Fraud & Forgery,2015,0
Brent,Fraud or Forgery,Other Fraud & Forgery,2013,0
Brent,Fraud or Forgery,Other Fraud & Forgery,2009,0
Brent,Fraud or Forgery,Other Fraud & Forgery,2008,58
Brent,Fraud or Forgery,Other Fraud & Forgery,2014,0
Brent,Fraud or Forgery,Other Fraud & Forgery,2016,0
Brent,Burglary,Burglary in a Dwelling,2008,2340
Brent,Burglary,Burglary in a Dwelling,2013,2366
Brent,Burglary,Burglary in a Dwelling,2012,2959
Brent,Burglary,Burglary in a Dwelling,2010,2489
Brent,Burglary,Burglary in a Dwelling,2009,2649
Brent,Burglary,Burglary in a Dwelling,2014,2001
Brent,Burglary,Burglary in a Dwelling,2015,2034
Brent,Burglary,Burglary in a Dwelling,2011,2806
Brent,Burglary,Burglary in a Dwelling,2016,1839
Brent,Theft and Handling,Theft From Motor Vehicle,2013,2067
Brent,Theft and Handling,Theft From Motor Vehicle,2016,1839
Brent,Theft and Handling,Theft From Motor Vehicle,2012,2235
Brent,Theft and Handling,Theft From Motor Vehicle,2008,2322
Brent,Theft and Handling,Theft From Motor Vehicle,2011,2403
Brent,Theft and Handling,Theft From Motor Vehicle,2009,2218
Brent,Theft and Handling,Theft From Motor Vehicle,2015,1802
Brent,Theft and Handling,Theft From Motor Vehicle,2010,2378
Brent,Theft and Handling,Theft From Motor Vehicle,2014,1567
Brent,Burglary,Burglary in Other Buildings,2009,897
Brent,Burglary,Burglary in Other Buildings,2016,792
Brent,Burglary,Burglary in Other Buildings,2011,869
Brent,Burglary,Burglary in Other Buildings,2015,667
Brent,Burglary,Burglary in Other Buildings,2010,956
Brent,Burglary,Burglary in Other Buildings,2008,926
Brent,Burglary,Burglary in Other Buildings,2013,718
Brent,Burglary,Burglary in Other Buildings,2014,638
Brent,Burglary,Burglary in Other Buildings,2012,977
Brent,Criminal Damage,Criminal Damage To Dwelling,2009,660
Brent,Criminal Damage,Criminal Damage To Dwelling,2016,513
Brent,Criminal Damage,Criminal Damage To Dwelling,2010,644
Brent,Criminal Damage,Criminal Damage To Dwelling,2013,508
Brent,Criminal Damage,Criminal Damage To Dwelling,2015,432
Brent,Criminal Damage,Criminal Damage To Dwelling,2012,469
Brent,Criminal Damage,Criminal Damage To Dwelling,2014,518
Brent,Criminal Damage,Criminal Damage To Dwelling,2011,542
Brent,Criminal Damage,Criminal Damage To Dwelling,2008,597
Brent,Theft and Handling,Theft/Taking of Pedal Cycle,2012,361
Brent,Theft and Handling,Theft/Taking of Pedal Cycle,2010,350
Brent,Theft and Handling,Theft/Taking of Pedal Cycle,2009,390
Brent,Theft and Handling,Theft/Taking of Pedal Cycle,2016,443
Brent,Theft and Handling,Theft/Taking of Pedal Cycle,2011,354
Brent,Theft and Handling,Theft/Taking of Pedal Cycle,2008,246
Brent,Theft and Handling,Theft/Taking of Pedal Cycle,2015,416
Brent,Theft and Handling,Theft/Taking of Pedal Cycle,2013,413
Brent,Theft and Handling,Theft/Taking of Pedal Cycle,2014,444
Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,2013,554
Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,2010,841
Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,2009,738
Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,2015,784
Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,2008,770
Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,2012,568
Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,2016,884
Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,2014,649
Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,2011,784
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,2009,1084
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,2016,879
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,2013,793
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,2014,783
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,2015,873
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,2010,996
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,2012,889
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,2011,979
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,2008,1157
Brent,Criminal Damage,Criminal Damage To Other Building,2008,233
Brent,Criminal Damage,Criminal Damage To Other Building,2009,248
Brent,Criminal Damage,Criminal Damage To Other Building,2012,243
Brent,Criminal Damage,Criminal Damage To Other Building,2016,240
Brent,Criminal Damage,Criminal Damage To Other Building,2015,213
Brent,Criminal Damage,Criminal Damage To Other Building,2014,254
Brent,Criminal Damage,Criminal Damage To Other Building,2010,259
Brent,Criminal Damage,Criminal Damage To Other Building,2013,210
Brent,Criminal Damage,Criminal Damage To Other Building,2011,244
Brent,Theft and Handling,Motor Vehicle Interference & Tampering,2010,145
Brent,Theft and Handling,Motor Vehicle Interference & Tampering,2011,142
Brent,Theft and Handling,Motor Vehicle Interference & Tampering,2014,211
Brent,Theft and Handling,Motor Vehicle Interference & Tampering,2009,82
Brent,Theft and Handling,Motor Vehicle Interference & Tampering,2013,141
Brent,Theft and Handling,Motor Vehicle Interference & Tampering,2012,161
Brent,Theft and Handling,Motor Vehicle Interference & Tampering,2015,425
Brent,Theft and Handling,Motor Vehicle Interference & Tampering,2008,61
Brent,Theft and Handling,Motor Vehicle Interference & Tampering,2016,412
Barnet,Sexual Offences,Rape,2008,6
Barnet,Sexual Offences,Rape,2011,0
Barnet,Sexual Offences,Rape,2013,0
Barnet,Sexual Offences,Rape,2010,0
Barnet,Sexual Offences,Rape,2012,0
Barnet,Sexual Offences,Rape,2009,0
Barnet,Sexual Offences,Rape,2016,0
Barnet,Sexual Offences,Rape,2015,0
Barnet,Sexual Offences,Rape,2014,0
Barnet,Violence Against the Person,Murder,2014,4
Barnet,Violence Against the Person,Murder,2013,3
Barnet,Violence Against the Person,Murder,2009,1
Barnet,Violence Against the Person,Murder,2008,4
Barnet,Violence Against the Person,Murder,2015,2
Barnet,Violence Against the Person,Murder,2012,0
Barnet,Violence Against the Person,Murder,2010,7
Barnet,Violence Against the Person,Murder,2016,4
Barnet,Violence Against the Person,Murder,2011,4
Barnet,Violence Against the Person,Harassment,2015,2526
Barnet,Violence Against the Person,Harassment,2009,1316
Barnet,Violence Against the Person,Harassment,2013,1377
Barnet,Violence Against the Person,Harassment,2008,1401
Barnet,Violence Against the Person,Harassment,2012,1264
Barnet,Violence Against the Person,Harassment,2010,1211
Barnet,Violence Against the Person,Harassment,2011,1183
Barnet,Violence Against the Person,Harassment,2014,1923
Barnet,Violence Against the Person,Harassment,2016,2967
Barnet,Drugs,Other Drugs,2010,4
Barnet,Drugs,Other Drugs,2011,2
Barnet,Drugs,Other Drugs,2008,6
Barnet,Drugs,Other Drugs,2013,9
Barnet,Drugs,Other Drugs,2012,6
Barnet,Drugs,Other Drugs,2014,6
Barnet,Drugs,Other Drugs,2016,7
Barnet,Drugs,Other Drugs,2015,3
Barnet,Drugs,Other Drugs,2009,1
Barnet,Theft and Handling,Other Theft,2010,2962
Barnet,Theft and Handling,Other Theft,2012,4148
Barnet,Theft and Handling,Other Theft,2009,2744
Barnet,Theft and Handling,Other Theft,2014,3600
Barnet,Theft and Handling,Other Theft,2013,3713
Barnet,Theft and Handling,Other Theft,2011,3094
Barnet,Theft and Handling,Other Theft,2016,3565
Barnet,Theft and Handling,Other Theft,2015,3436
Barnet,Theft and Handling,Other Theft,2008,2704
Barnet,Sexual Offences,Other Sexual,2011,0
Barnet,Sexual Offences,Other Sexual,2013,0
Barnet,Sexual Offences,Other Sexual,2008,32
